Store Name,Store Number,Phone Number,Address,Url,Longitude,Latitude,City,State
Dollar General # 7357 | Dollar General,7357,2566606129,"103 W Alabama Rd, Abbeville, AL, 36310-2132",https://www.dollargeneral.com/store-directory/al/abbeville/7357,-85.2517,31.5629,abbeville,al
Dollar General # 7700 | Dollar General,7700,2566664430,"31695 Hwy 278, Addison, AL, 35540",https://www.dollargeneral.com/store-directory/al/addison/7700,-87.1624,34.1971,addison,al
Dollar General # 19386 | Dollar General,19386,2052770783,"9083 Lock 17 Rd, Adger, AL, 35006-1169",https://www.dollargeneral.com/store-directory/al/adger/19386,-87.1474,33.4497,adger,al
Dollar General # 14314 | Dollar General,14314,2056143885,"2517 County Rd 36, Akron, AL, 35441-2048",https://www.dollargeneral.com/store-directory/al/akron/14314,-87.721232,32.870666,akron,al
Dollar General # 9539 | Dollar General,9539,2056247270,"2260 Kent Dairy Rd, Alabaster, AL, 35007-0692",https://www.dollargeneral.com/store-directory/al/alabaster/9539,-86.824854,33.21384,alabaster,al
Dollar General # 1607 | Dollar General,1607,2056248808,"515 First Street Sw, Alabaster, AL, 35007-9744",https://www.dollargeneral.com/store-directory/al/alabaster/1607,-86.820051,33.240032,alabaster,al
Dollar General # 10369 | Dollar General,10369,5204850790,"802 N 2nd Ave, Ajo, AZ, 85321-2008",https://www.dollargeneral.com/store-directory/az/ajo/10369,-112.871789,32.379425,ajo,az
Dollar General # 19372 | Dollar General,19372,5205492933,"28890 S Nogales Hwy, Amado, AZ, 85645",https://www.dollargeneral.com/store-directory/az/amado/19372,-111.06174,31.726386,amado,az
Dollar General # 6710 | Dollar General,6710,4805810442,"725 W Apache Trl, Apache Junction, AZ, 85120-3958",https://www.dollargeneral.com/store-directory/az/apache-junction/6710,-111.5537,33.415,apache-junction,az
Dollar General # 22286 | Dollar General,22286,5204389649,"15470 S Sunland Gin Rd, Arizona City, AZ, 85123",https://www.dollargeneral.com/store-directory/az/arizona-city/22286,-111.67162,32.73952,arizona-city,az
Dollar General # 10351 | Dollar General,10351,5206003780,"9275 W Battaglia Dr, Arizona City, AZ, 85123-6702",https://www.dollargeneral.com/store-directory/az/arizona-city/10351,-111.667432,32.762296,arizona-city,az
Dollar General # 6629 | Dollar General,6629,5206003865,"445 W 4th St, Benson, AZ, 85602-6560",https://www.dollargeneral.com/store-directory/az/benson/6629,-110.303853,31.96922,benson,az
Dollar General # 20512 | Dollar General,20512,5204422417,"306 N Mescal Rd, Benson, AZ, 85602",https://www.dollargeneral.com/store-directory/az/benson/20512,-110.435,31.9689,benson,az
Dollar General # 293 | Dollar General,293,5014811284,"13525 Vimy Ridge Rd, Alexander, AR, 72002",https://www.dollargeneral.com/store-directory/ar/alexander/293,-92.4167,34.6276,alexander,ar
Dollar General # 19419 | Dollar General,19419,5013036890,"16475 Congo Ferndale Rd, Alexander, AR, 72002",https://www.dollargeneral.com/store-directory/ar/alexander/19419,-92.5777,34.714,alexander,ar
Dollar General # 8028 | Dollar General,8028,5014811200,"9433 Highway 5 N, Alexander, AR, 72002-8530",https://www.dollargeneral.com/store-directory/ar/alexander/8028,-92.453366,34.644799,alexander,ar
Dollar General # 14698 | Dollar General,14698,5014811331,"15616 Alexander Road, Alexander, AR, 72002-1514",https://www.dollargeneral.com/store-directory/ar/alexander/14698,-92.443689,34.632454,alexander,ar
